index,token,count,tag,frequency,neg,neu,pos,compound
0,when,6,WRB,0.004101161995898838,0.0,1.0,0.0,0.0
1,lightening,4,VBG,0.002734107997265892,0.0,1.0,0.0,0.0
2,strikes,8,NNS,0.005468215994531784,1.0,0.0,0.0,-0.3612
3,it,20,PRP,0.01367053998632946,0.0,1.0,0.0,0.0
4,is,26,VBZ,0.0177717019822283,0.0,1.0,0.0,0.0
5,an,3,DT,0.002050580997949419,0.0,1.0,0.0,0.0
6,electromagnetic,2,JJ,0.001367053998632946,0.0,1.0,0.0,0.0
7,discharge,3,NN,0.002050580997949419,0.0,1.0,0.0,0.0
8,from,8,IN,0.005468215994531784,0.0,1.0,0.0,0.0
9,earth,1,NN,0.000683526999316473,0.0,1.0,0.0,0.0
10,to,65,TO,0.04442925495557074,0.0,1.0,0.0,0.0
11,the,87,DT,0.059466848940533154,0.0,1.0,0.0,0.0
12,sky,1,NN,0.000683526999316473,0.0,1.0,0.0,0.0
13,could,6,MD,0.004101161995898838,0.0,1.0,0.0,0.0
14,it,20,PRP,0.01367053998632946,0.0,1.0,0.0,0.0
15,be,16,VB,0.010936431989063569,0.0,1.0,0.0,0.0
16,possible,4,JJ,0.002734107997265892,0.0,1.0,0.0,0.0
17,to,65,TO,0.04442925495557074,0.0,1.0,0.0,0.0
18,build,2,VB,0.001367053998632946,0.0,1.0,0.0,0.0
19,a,50,DT,0.03417634996582365,0.0,0.0,0.0,0.0
20,stable,2,JJ,0.001367053998632946,0.0,0.0,1.0,0.296
21,conductor,2,NN,0.001367053998632946,0.0,1.0,0.0,0.0
22,of,45,IN,0.030758714969241284,0.0,1.0,0.0,0.0
23,electro,1,JJ,0.000683526999316473,0.0,1.0,0.0,0.0
24,magnetic,1,JJ,0.000683526999316473,0.0,1.0,0.0,0.0
25,energy,9,NN,0.006151742993848257,0.0,0.0,1.0,0.2732
26,to,65,TO,0.04442925495557074,0.0,1.0,0.0,0.0
27,generate,6,VB,0.004101161995898838,0.0,1.0,0.0,0.0
28,renewable,3,JJ,0.002050580997949419,0.0,1.0,0.0,0.0
29,eletricity,1,NN,0.000683526999316473,0.0,1.0,0.0,0.0
30,while,4,IN,0.002734107997265892,0.0,1.0,0.0,0.0
31,lightning,36,VBG,0.02460697197539303,0.0,1.0,0.0,0.0
32,is,26,VBZ,0.0177717019822283,0.0,1.0,0.0,0.0
33,an,3,DT,0.002050580997949419,0.0,1.0,0.0,0.0
34,electromagnetic,2,JJ,0.001367053998632946,0.0,1.0,0.0,0.0
35,discharge,3,NN,0.002050580997949419,0.0,1.0,0.0,0.0
36,it,20,PRP,0.01367053998632946,0.0,1.0,0.0,0.0
37,occurs,2,VBZ,0.001367053998632946,0.0,1.0,0.0,0.0
38,due,1,JJ,0.000683526999316473,0.0,1.0,0.0,0.0
39,to,65,TO,0.04442925495557074,0.0,1.0,0.0,0.0
40,a,50,DT,0.03417634996582365,0.0,0.0,0.0,0.0
41,complex,1,JJ,0.000683526999316473,0.0,1.0,0.0,0.0
42,process,1,NN,0.000683526999316473,0.0,1.0,0.0,0.0
43,involving,1,VBG,0.000683526999316473,0.0,1.0,0.0,0.0
44,the,87,DT,0.059466848940533154,0.0,1.0,0.0,0.0
45,buildup,1,NN,0.000683526999316473,0.0,1.0,0.0,0.0
46,and,60,CC,0.04101161995898838,0.0,1.0,0.0,0.0
47,discharge,3,NN,0.002050580997949419,0.0,1.0,0.0,0.0
48,of,45,IN,0.030758714969241284,0.0,1.0,0.0,0.0
49,static,3,JJ,0.002050580997949419,0.0,1.0,0.0,0.0
50,electricity,13,NN,0.00888585099111415,0.0,1.0,0.0,0.0
51,in,28,IN,0.019138755980861243,0.0,1.0,0.0,0.0
52,the,87,DT,0.059466848940533154,0.0,1.0,0.0,0.0
53,atmosphere,1,NN,0.000683526999316473,0.0,1.0,0.0,0.0
54,which,10,WDT,0.00683526999316473,0.0,1.0,0.0,0.0
55,is,26,VBZ,0.0177717019822283,0.0,1.0,0.0,0.0
56,not,10,RB,0.00683526999316473,0.0,1.0,0.0,0.0
57,easily,1,RB,0.000683526999316473,0.0,0.0,1.0,0.34
58,replicable,1,JJ,0.000683526999316473,0.0,1.0,0.0,0.0
59,in,28,IN,0.019138755980861243,0.0,1.0,0.0,0.0
60,a,50,DT,0.03417634996582365,0.0,0.0,0.0,0.0
61,controlled,1,JJ,0.000683526999316473,0.0,1.0,0.0,0.0
62,manner,1,NN,0.000683526999316473,0.0,1.0,0.0,0.0
63,therefore,1,IN,0.000683526999316473,0.0,1.0,0.0,0.0
64,it,20,PRP,0.01367053998632946,0.0,1.0,0.0,0.0
65,is,26,VBZ,0.0177717019822283,0.0,1.0,0.0,0.0
66,not,10,RB,0.00683526999316473,0.0,1.0,0.0,0.0
67,currently,1,RB,0.000683526999316473,0.0,1.0,0.0,0.0
68,possible,4,JJ,0.002734107997265892,0.0,1.0,0.0,0.0
69,to,65,TO,0.04442925495557074,0.0,1.0,0.0,0.0
70,build,2,VB,0.001367053998632946,0.0,1.0,0.0,0.0
71,a,50,DT,0.03417634996582365,0.0,0.0,0.0,0.0
72,stable,2,JJ,0.001367053998632946,0.0,0.0,1.0,0.296
73,conductor,2,NN,0.001367053998632946,0.0,1.0,0.0,0.0
74,to,65,TO,0.04442925495557074,0.0,1.0,0.0,0.0
75,generate,6,VB,0.004101161995898838,0.0,1.0,0.0,0.0
76,electricity,13,NN,0.00888585099111415,0.0,1.0,0.0,0.0
77,from,8,IN,0.005468215994531784,0.0,1.0,0.0,0.0
78,lightning,36,VBG,0.02460697197539303,0.0,1.0,0.0,0.0
79,however,5,RB,0.003417634996582365,0.0,1.0,0.0,0.0
80,there,3,EX,0.002050580997949419,0.0,1.0,0.0,0.0
81,are,18,VBP,0.012303485987696514,0.0,1.0,0.0,0.0
82,other,6,JJ,0.004101161995898838,0.0,1.0,0.0,0.0
83,ways,1,NNS,0.000683526999316473,0.0,1.0,0.0,0.0
84,to,65,TO,0.04442925495557074,0.0,1.0,0.0,0.0
85,generate,6,VB,0.004101161995898838,0.0,1.0,0.0,0.0
86,electricity,13,NN,0.00888585099111415,0.0,1.0,0.0,0.0
87,from,8,IN,0.005468215994531784,0.0,1.0,0.0,0.0
88,atmospheric,4,JJ,0.002734107997265892,0.0,1.0,0.0,0.0
89,electricity,13,NN,0.00888585099111415,0.0,1.0,0.0,0.0
90,such,8,JJ,0.005468215994531784,0.0,1.0,0.0,0.0
91,as,11,IN,0.007518796992481203,0.0,1.0,0.0,0.0
92,through,5,IN,0.003417634996582365,0.0,1.0,0.0,0.0
93,the,87,DT,0.059466848940533154,0.0,1.0,0.0,0.0
94,use,6,NN,0.004101161995898838,0.0,1.0,0.0,0.0
95,of,45,IN,0.030758714969241284,0.0,1.0,0.0,0.0
96,static,3,JJ,0.002050580997949419,0.0,1.0,0.0,0.0
97,electricity,13,NN,0.00888585099111415,0.0,1.0,0.0,0.0
98,which,10,WDT,0.00683526999316473,0.0,1.0,0.0,0.0
99,is,26,VBZ,0.0177717019822283,0.0,1.0,0.0,0.0
100,generated,1,VBN,0.000683526999316473,0.0,1.0,0.0,0.0
101,by,8,IN,0.005468215994531784,0.0,1.0,0.0,0.0
102,the,87,DT,0.059466848940533154,0.0,1.0,0.0,0.0
103,friction,1,NN,0.000683526999316473,0.0,1.0,0.0,0.0
104,between,1,IN,0.000683526999316473,0.0,1.0,0.0,0.0
105,two,4,CD,0.002734107997265892,0.0,1.0,0.0,0.0
106,materials,2,NNS,0.001367053998632946,0.0,1.0,0.0,0.0
107,one,4,CD,0.002734107997265892,0.0,1.0,0.0,0.0
108,example,2,NN,0.001367053998632946,0.0,1.0,0.0,0.0
109,of,45,IN,0.030758714969241284,0.0,1.0,0.0,0.0
110,this,10,DT,0.00683526999316473,0.0,1.0,0.0,0.0
111,is,26,VBZ,0.0177717019822283,0.0,1.0,0.0,0.0
112,the,87,DT,0.059466848940533154,0.0,1.0,0.0,0.0
