index,token,count,tag,frequency,neg,neu,pos,compound
0,is,52,VBZ,0.030498533724340176,0.0,1.0,0.0,0.0
1,the,184,DT,0.10791788856304986,0.0,1.0,0.0,0.0
2,sun,23,NN,0.013489736070381233,0.0,1.0,0.0,0.0
3,spinning,4,VBG,0.002346041055718475,0.0,1.0,0.0,0.0
4,around,15,IN,0.008797653958944282,0.0,1.0,0.0,0.0
5,a,43,DT,0.025219941348973606,0.0,0.0,0.0,0.0
6,giant,4,JJ,0.002346041055718475,0.0,1.0,0.0,0.0
7,black,12,JJ,0.007038123167155425,0.0,1.0,0.0,0.0
8,hole,12,NN,0.007038123167155425,0.0,1.0,0.0,0.0
9,no,4,DT,0.002346041055718475,1.0,0.0,0.0,-0.296
10,the,184,DT,0.10791788856304986,0.0,1.0,0.0,0.0
11,sun,23,NN,0.013489736070381233,0.0,1.0,0.0,0.0
12,is,52,VBZ,0.030498533724340176,0.0,1.0,0.0,0.0
13,not,14,RB,0.008211143695014663,0.0,1.0,0.0,0.0
14,spinning,4,VBG,0.002346041055718475,0.0,1.0,0.0,0.0
15,around,15,IN,0.008797653958944282,0.0,1.0,0.0,0.0
16,a,43,DT,0.025219941348973606,0.0,0.0,0.0,0.0
17,giant,4,JJ,0.002346041055718475,0.0,1.0,0.0,0.0
18,black,12,JJ,0.007038123167155425,0.0,1.0,0.0,0.0
19,hole,12,NN,0.007038123167155425,0.0,1.0,0.0,0.0
20,the,184,DT,0.10791788856304986,0.0,1.0,0.0,0.0
21,sun,23,NN,0.013489736070381233,0.0,1.0,0.0,0.0
22,is,52,VBZ,0.030498533724340176,0.0,1.0,0.0,0.0
23,part,1,NN,0.0005865102639296188,0.0,1.0,0.0,0.0
24,of,66,IN,0.03870967741935484,0.0,1.0,0.0,0.0
25,the,184,DT,0.10791788856304986,0.0,1.0,0.0,0.0
26,milky,33,JJ,0.01935483870967742,0.0,1.0,0.0,0.0
27,way,35,NN,0.020527859237536656,0.0,1.0,0.0,0.0
28,galaxy,30,NN,0.017595307917888565,0.0,1.0,0.0,0.0
29,which,9,WDT,0.005278592375366569,0.0,1.0,0.0,0.0
30,is,52,VBZ,0.030498533724340176,0.0,1.0,0.0,0.0
31,a,43,DT,0.025219941348973606,0.0,0.0,0.0,0.0
32,barred,1,JJ,0.0005865102639296188,0.0,1.0,0.0,0.0
33,spiral,2,JJ,0.0011730205278592375,0.0,1.0,0.0,0.0
34,galaxy,30,NN,0.017595307917888565,0.0,1.0,0.0,0.0
35,with,10,IN,0.005865102639296188,0.0,1.0,0.0,0.0
36,a,43,DT,0.025219941348973606,0.0,0.0,0.0,0.0
37,central,1,JJ,0.0005865102639296188,0.0,1.0,0.0,0.0
38,bulge,2,NN,0.0011730205278592375,0.0,1.0,0.0,0.0
39,a,43,DT,0.025219941348973606,0.0,0.0,0.0,0.0
40,disk,2,NN,0.0011730205278592375,0.0,1.0,0.0,0.0
41,and,55,CC,0.03225806451612903,0.0,1.0,0.0,0.0
42,spiral,2,JJ,0.0011730205278592375,0.0,1.0,0.0,0.0
43,arms,1,NNS,0.0005865102639296188,0.0,1.0,0.0,0.0
44,at,3,IN,0.0017595307917888563,0.0,1.0,0.0,0.0
45,the,184,DT,0.10791788856304986,0.0,1.0,0.0,0.0
46,center,11,NN,0.0064516129032258064,0.0,1.0,0.0,0.0
47,of,66,IN,0.03870967741935484,0.0,1.0,0.0,0.0
48,the,184,DT,0.10791788856304986,0.0,1.0,0.0,0.0
49,milky,33,JJ,0.01935483870967742,0.0,1.0,0.0,0.0
50,way,35,NN,0.020527859237536656,0.0,1.0,0.0,0.0
51,galaxy,30,NN,0.017595307917888565,0.0,1.0,0.0,0.0
52,there,5,EX,0.002932551319648094,0.0,1.0,0.0,0.0
53,is,52,VBZ,0.030498533724340176,0.0,1.0,0.0,0.0
54,a,43,DT,0.025219941348973606,0.0,0.0,0.0,0.0
55,supermassive,4,JJ,0.002346041055718475,0.0,1.0,0.0,0.0
56,black,12,JJ,0.007038123167155425,0.0,1.0,0.0,0.0
57,hole,12,NN,0.007038123167155425,0.0,1.0,0.0,0.0
58,called,4,VBN,0.002346041055718475,0.0,1.0,0.0,0.0
59,sagittarius,3,PDT,0.0017595307917888563,0.0,1.0,0.0,0.0
60,a,43,DT,0.025219941348973606,0.0,0.0,0.0,0.0
61,but,5,CC,0.002932551319648094,0.0,1.0,0.0,0.0
62,the,184,DT,0.10791788856304986,0.0,1.0,0.0,0.0
63,sun,23,NN,0.013489736070381233,0.0,1.0,0.0,0.0
64,is,52,VBZ,0.030498533724340176,0.0,1.0,0.0,0.0
65,not,14,RB,0.008211143695014663,0.0,1.0,0.0,0.0
66,orbiting,3,VBG,0.0017595307917888563,0.0,1.0,0.0,0.0
67,this,11,DT,0.0064516129032258064,0.0,1.0,0.0,0.0
68,black,12,JJ,0.007038123167155425,0.0,1.0,0.0,0.0
69,hole,12,NN,0.007038123167155425,0.0,1.0,0.0,0.0
70,instead,4,RB,0.002346041055718475,0.0,1.0,0.0,0.0
71,the,184,DT,0.10791788856304986,0.0,1.0,0.0,0.0
72,sun,23,NN,0.013489736070381233,0.0,1.0,0.0,0.0
73,orbits,4,VBZ,0.002346041055718475,0.0,1.0,0.0,0.0
74,the,184,DT,0.10791788856304986,0.0,1.0,0.0,0.0
75,center,11,NN,0.0064516129032258064,0.0,1.0,0.0,0.0
76,of,66,IN,0.03870967741935484,0.0,1.0,0.0,0.0
77,the,184,DT,0.10791788856304986,0.0,1.0,0.0,0.0
78,milky,33,JJ,0.01935483870967742,0.0,1.0,0.0,0.0
79,way,35,NN,0.020527859237536656,0.0,1.0,0.0,0.0
80,galaxy,30,NN,0.017595307917888565,0.0,1.0,0.0,0.0
81,along,1,IN,0.0005865102639296188,0.0,1.0,0.0,0.0
82,with,10,IN,0.005865102639296188,0.0,1.0,0.0,0.0
83,the,184,DT,0.10791788856304986,0.0,1.0,0.0,0.0
84,other,8,JJ,0.00469208211143695,0.0,1.0,0.0,0.0
85,stars,4,NNS,0.002346041055718475,0.0,1.0,0.0,0.0
86,and,55,CC,0.03225806451612903,0.0,1.0,0.0,0.0
87,objects,5,NNS,0.002932551319648094,0.0,1.0,0.0,0.0
88,in,32,IN,0.0187683284457478,0.0,1.0,0.0,0.0
89,the,184,DT,0.10791788856304986,0.0,1.0,0.0,0.0
90,galaxy,30,NN,0.017595307917888565,0.0,1.0,0.0,0.0
91,the,184,DT,0.10791788856304986,0.0,1.0,0.0,0.0
92,speed,1,NN,0.0005865102639296188,0.0,1.0,0.0,0.0
93,of,66,IN,0.03870967741935484,0.0,1.0,0.0,0.0
94,the,184,DT,0.10791788856304986,0.0,1.0,0.0,0.0
95,sun,23,NN,0.013489736070381233,0.0,1.0,0.0,0.0
96,orbit,13,NN,0.007624633431085044,0.0,1.0,0.0,0.0
97,around,15,IN,0.008797653958944282,0.0,1.0,0.0,0.0
98,the,184,DT,0.10791788856304986,0.0,1.0,0.0,0.0
99,milky,33,JJ,0.01935483870967742,0.0,1.0,0.0,0.0
100,way,35,NN,0.020527859237536656,0.0,1.0,0.0,0.0
101,center,11,NN,0.0064516129032258064,0.0,1.0,0.0,0.0
102,is,52,VBZ,0.030498533724340176,0.0,1.0,0.0,0.0
103,approximately,2,RB,0.0011730205278592375,0.0,1.0,0.0,0.0
104,220,1,JJ,0.0005865102639296188,0.0,1.0,0.0,0.0
105,km/s,1,NN,0.0005865102639296188,0.0,1.0,0.0,0.0
106,and,55,CC,0.03225806451612903,0.0,1.0,0.0,0.0
107,it,18,PRP,0.010557184750733138,0.0,1.0,0.0,0.0
108,takes,1,VBZ,0.0005865102639296188,0.0,1.0,0.0,0.0
109,about,4,IN,0.002346041055718475,0.0,1.0,0.0,0.0
110,225-250,1,CD,0.0005865102639296188,0.0,1.0,0.0,0.0
111,million,4,CD,0.002346041055718475,0.0,1.0,0.0,0.0
112,years,8,NNS,0.00469208211143695,0.0,1.0,0.0,0.0
113,for,8,IN,0.00469208211143695,0.0,1.0,0.0,0.0
114,the,184,DT,0.10791788856304986,0.0,1.0,0.0,0.0
115,sun,23,NN,0.013489736070381233,0.0,1.0,0.0,0.0
116,to,32,TO,0.0187683284457478,0.0,1.0,0.0,0.0
117,complete,1,VB,0.0005865102639296188,0.0,1.0,0.0,0.0
118,one,6,CD,0.0035190615835777126,0.0,1.0,0.0,0.0
119,orbit,13,NN,0.007624633431085044,0.0,1.0,0.0,0.0
