index,token,count,tag,frequency,neg,neu,pos,compound
67,currently,1,RB,0.000683526999316473,0.0,1.0,0.0,0.0
641,note,1,VB,0.000683526999316473,0.0,1.0,0.0,0.0
1190,user,1,NN,0.000683526999316473,0.0,1.0,0.0,0.0
266,advisable,1,JJ,0.000683526999316473,0.0,1.0,0.0,0.0
415,regulations,1,NNS,0.000683526999316473,0.0,1.0,0.0,0.0
820,customized,1,JJ,0.000683526999316473,0.0,1.0,0.0,0.0
388,risk,1,NN,0.000683526999316473,1.0,0.0,0.0,-0.2732
1187,exchange,1,VBP,0.000683526999316473,0.0,1.0,0.0,0.0
1363,valid,1,JJ,0.000683526999316473,0.0,1.0,0.0,0.0
871,ledger,1,NN,0.000683526999316473,0.0,1.0,0.0,0.0
988,mesh,1,JJ,0.000683526999316473,0.0,1.0,0.0,0.0
245,viable,1,JJ,0.000683526999316473,0.0,1.0,0.0,0.0
252,sufficiently,1,RB,0.000683526999316473,0.0,1.0,0.0,0.0
730,dehn,1,VBZ,0.000683526999316473,0.0,1.0,0.0,0.0
1250,occur,1,NNS,0.000683526999316473,0.0,1.0,0.0,0.0
1448,thank,1,VBD,0.000683526999316473,0.0,0.0,1.0,0.3612
702,specialize,1,VBP,0.000683526999316473,0.0,1.0,0.0,0.0
795,selecting,1,VBG,0.000683526999316473,0.0,1.0,0.0,0.0
24,magnetic,1,JJ,0.000683526999316473,0.0,1.0,0.0,0.0
83,ways,1,NNS,0.000683526999316473,0.0,1.0,0.0,0.0
1170,persist,1,VB,0.000683526999316473,0.0,1.0,0.0,0.0
1383,disregarded,1,VBN,0.000683526999316473,1.0,0.0,0.0,-0.3818
933,validate,1,VB,0.000683526999316473,0.0,0.0,1.0,0.3612
1002,challenges,1,NNS,0.000683526999316473,0.0,0.0,1.0,0.0772
1099,validated,1,VBN,0.000683526999316473,0.0,0.0,1.0,0.2263
317,low-impedance,1,JJ,0.000683526999316473,0.0,1.0,0.0,0.0
629,levels,1,NNS,0.000683526999316473,0.0,1.0,0.0,0.0
1234,forking,1,VBG,0.000683526999316473,0.0,1.0,0.0,0.0
790,reputable,1,JJ,0.000683526999316473,0.0,1.0,0.0,0.0
61,controlled,1,JJ,0.000683526999316473,0.0,1.0,0.0,0.0
202,efficient,1,JJ,0.000683526999316473,0.0,0.0,1.0,0.4215
42,process,1,NN,0.000683526999316473,0.0,1.0,0.0,0.0
12,sky,1,NN,0.000683526999316473,0.0,1.0,0.0,0.0
1101,confirmed,1,VBN,0.000683526999316473,0.0,1.0,0.0,0.0
1252,resolved,1,VBN,0.000683526999316473,0.0,0.0,1.0,0.1779
1186,markets,1,NNS,0.000683526999316473,0.0,1.0,0.0,0.0
722,leading,1,JJ,0.000683526999316473,0.0,1.0,0.0,0.0
960,redundancy,1,NN,0.000683526999316473,0.0,1.0,0.0,0.0
240,make,1,VB,0.000683526999316473,0.0,1.0,0.0,0.0
9,earth,1,NN,0.000683526999316473,0.0,1.0,0.0,0.0
1373,included,1,VBN,0.000683526999316473,0.0,1.0,0.0,0.0
224,research,1,NN,0.000683526999316473,0.0,1.0,0.0,0.0
821,solution,1,NN,0.000683526999316473,0.0,0.0,1.0,0.3182
1303,because,1,IN,0.000683526999316473,0.0,1.0,0.0,0.0
128,belt,1,NN,0.000683526999316473,0.0,1.0,0.0,0.0
824,building,1,NN,0.000683526999316473,0.0,1.0,0.0,0.0
660,trained,1,JJ,0.000683526999316473,0.0,1.0,0.0,0.0
1284,exactly,1,RB,0.000683526999316473,0.0,1.0,0.0,0.0
677,proper,1,JJ,0.000683526999316473,0.0,1.0,0.0,0.0
162,tall,1,JJ,0.000683526999316473,0.0,1.0,0.0,0.0
29,eletricity,1,NN,0.000683526999316473,0.0,1.0,0.0,0.0
323,currents,1,NNS,0.000683526999316473,0.0,1.0,0.0,0.0
888,difficult,1,JJ,0.000683526999316473,1.0,0.0,0.0,-0.3612
982,alternative,1,JJ,0.000683526999316473,0.0,1.0,0.0,0.0
212,wind,1,JJ,0.000683526999316473,0.0,1.0,0.0,0.0
697,built,1,VBN,0.000683526999316473,0.0,1.0,0.0,0.0
634,periods,1,NNS,0.000683526999316473,0.0,1.0,0.0,0.0
1423,automatically,1,RB,0.000683526999316473,0.0,1.0,0.0,0.0
835,apart,1,RB,0.000683526999316473,0.0,1.0,0.0,0.0
1266,developers,1,NNS,0.000683526999316473,0.0,1.0,0.0,0.0
411,established,1,VBN,0.000683526999316473,0.0,1.0,0.0,0.0
256,cause,1,NN,0.000683526999316473,0.0,1.0,0.0,0.0
700,manufacturers,1,NNS,0.000683526999316473,0.0,1.0,0.0,0.0
57,easily,1,RB,0.000683526999316473,0.0,0.0,1.0,0.34
810,designer,1,NN,0.000683526999316473,0.0,1.0,0.0,0.0
742,international,1,JJ,0.000683526999316473,0.0,1.0,0.0,0.0
1276,security,1,NN,0.000683526999316473,0.0,0.0,1.0,0.34
183,channel,1,VB,0.000683526999316473,0.0,1.0,0.0,0.0
324,but,1,CC,0.000683526999316473,0.0,1.0,0.0,0.0
1439,effectively,1,RB,0.000683526999316473,0.0,0.0,1.0,0.4404
1458,hope,1,VBP,0.000683526999316473,0.0,0.0,1.0,0.4404
1081,versions,1,NNS,0.000683526999316473,0.0,1.0,0.0,0.0
238,future,1,NN,0.000683526999316473,0.0,1.0,0.0,0.0
1427,longest,1,JJS,0.000683526999316473,0.0,1.0,0.0,0.0
159,consist,1,VBP,0.000683526999316473,0.0,1.0,0.0,0.0
403,near,1,IN,0.000683526999316473,0.0,1.0,0.0,0.0
708,well-known,1,JJ,0.000683526999316473,0.0,1.0,0.0,0.0
38,due,1,JJ,0.000683526999316473,0.0,1.0,0.0,0.0
131,grounded,1,JJ,0.000683526999316473,0.0,1.0,0.0,0.0
1353,reconnects,1,VBZ,0.000683526999316473,0.0,1.0,0.0,0.0
832,will,1,MD,0.000683526999316473,0.0,1.0,0.0,0.0
628,high,1,JJ,0.000683526999316473,0.0,1.0,0.0,0.0
1455,attention,1,NN,0.000683526999316473,0.0,1.0,0.0,0.0
437,inside,1,IN,0.000683526999316473,0.0,1.0,0.0,0.0
581,direct,1,VB,0.000683526999316473,0.0,1.0,0.0,0.0
665,expertise,1,NN,0.000683526999316473,0.0,1.0,0.0,0.0
923,outages,1,NNS,0.000683526999316473,0.0,1.0,0.0,0.0
400,populated,1,JJ,0.000683526999316473,0.0,1.0,0.0,0.0
226,ongoing,1,VBG,0.000683526999316473,0.0,1.0,0.0,0.0
424,people,1,NNS,0.000683526999316473,0.0,1.0,0.0,0.0
23,electro,1,JJ,0.000683526999316473,0.0,1.0,0.0,0.0
1194,happened,1,VBN,0.000683526999316473,0.0,1.0,0.0,0.0
1451,bringing,1,VBG,0.000683526999316473,0.0,1.0,0.0,0.0
1409,creating,1,VBG,0.000683526999316473,0.0,0.0,1.0,0.296
43,involving,1,VBG,0.000683526999316473,0.0,1.0,0.0,0.0
1237,rare,1,JJ,0.000683526999316473,0.0,1.0,0.0,0.0
1320,making,1,VBG,0.000683526999316473,0.0,1.0,0.0,0.0
990,overall,1,VBP,0.000683526999316473,0.0,1.0,0.0,0.0
858,relies,1,NNS,0.000683526999316473,0.0,1.0,0.0,0.0
818,design,1,NN,0.000683526999316473,0.0,1.0,0.0,0.0
100,generated,1,VBN,0.000683526999316473,0.0,1.0,0.0,0.0
207,sources,1,NNS,0.000683526999316473,0.0,1.0,0.0,0.0
309,recommended,1,JJ,0.000683526999316473,0.0,0.0,1.0,0.2023
1028,what,1,WP,0.000683526999316473,0.0,1.0,0.0,0.0
404,flammable,1,JJ,0.000683526999316473,0.0,1.0,0.0,0.0
1212,thousand,1,NN,0.000683526999316473,0.0,1.0,0.0,0.0
658,done,1,VBN,0.000683526999316473,0.0,1.0,0.0,0.0
1328,null,1,NN,0.000683526999316473,0.0,1.0,0.0,0.0
1404,own,1,JJ,0.000683526999316473,0.0,1.0,0.0,0.0
1412,competing,1,VBG,0.000683526999316473,0.0,1.0,0.0,0.0
967,distributed,1,VBD,0.000683526999316473,0.0,1.0,0.0,0.0
989,networks,1,NNS,0.000683526999316473,0.0,1.0,0.0,0.0
1188,rates,1,NNS,0.000683526999316473,0.0,1.0,0.0,0.0
1073,mean,1,VB,0.000683526999316473,0.0,1.0,0.0,0.0
115,graaff,1,FW,0.000683526999316473,0.0,1.0,0.0,0.0
1330,void,1,NN,0.000683526999316473,0.0,1.0,0.0,0.0
1118,decide,1,VB,0.000683526999316473,0.0,1.0,0.0,0.0
1105,scenario,1,NN,0.000683526999316473,0.0,1.0,0.0,0.0
114,de,1,IN,0.000683526999316473,0.0,1.0,0.0,0.0
1440,nullifying,1,VBG,0.000683526999316473,0.0,1.0,0.0,0.0
1000,pose,1,VB,0.000683526999316473,0.0,1.0,0.0,0.0
627,require,1,VBP,0.000683526999316473,0.0,1.0,0.0,0.0
1020,functioning,1,VBG,0.000683526999316473,0.0,1.0,0.0,0.0
