index,token,count,tag,frequency,neg,neu,pos,compound
0,sun,23,NN,0.02593010146561443,0.0,1.0,0.0,0.0
1,spin,6,NN,0.006764374295377677,0.0,1.0,0.0,0.0
2,around,15,IN,0.016910935738444193,0.0,1.0,0.0,0.0
3,giant,4,JJ,0.004509582863585118,0.0,1.0,0.0,0.0
4,black,12,JJ,0.013528748590755355,0.0,1.0,0.0,0.0
5,hole,12,NN,0.013528748590755355,0.0,1.0,0.0,0.0
6,sun,23,NN,0.02593010146561443,0.0,1.0,0.0,0.0
7,spin,6,NN,0.006764374295377677,0.0,1.0,0.0,0.0
8,around,15,IN,0.016910935738444193,0.0,1.0,0.0,0.0
9,giant,4,JJ,0.004509582863585118,0.0,1.0,0.0,0.0
10,black,12,JJ,0.013528748590755355,0.0,1.0,0.0,0.0
11,hole,12,NN,0.013528748590755355,0.0,1.0,0.0,0.0
12,sun,23,NN,0.02593010146561443,0.0,1.0,0.0,0.0
13,part,1,NN,0.0011273957158962795,0.0,1.0,0.0,0.0
14,milki,33,NN,0.03720405862457723,0.0,1.0,0.0,0.0
15,way,35,NN,0.03945885005636979,0.0,1.0,0.0,0.0
16,galaxi,36,JJ,0.040586245772266064,0.0,1.0,0.0,0.0
17,bar,1,NN,0.0011273957158962795,0.0,1.0,0.0,0.0
18,spiral,4,JJ,0.004509582863585118,0.0,1.0,0.0,0.0
19,galaxi,36,JJ,0.040586245772266064,0.0,1.0,0.0,0.0
20,central,1,JJ,0.0011273957158962795,0.0,1.0,0.0,0.0
21,bulg,2,NN,0.002254791431792559,0.0,1.0,0.0,0.0
22,disk,2,NN,0.002254791431792559,0.0,1.0,0.0,0.0
23,spiral,4,JJ,0.004509582863585118,0.0,1.0,0.0,0.0
24,arm,1,NN,0.0011273957158962795,0.0,1.0,0.0,0.0
25,center,11,NN,0.012401352874859075,0.0,1.0,0.0,0.0
26,milki,33,NN,0.03720405862457723,0.0,1.0,0.0,0.0
27,way,35,NN,0.03945885005636979,0.0,1.0,0.0,0.0
28,galaxi,36,JJ,0.040586245772266064,0.0,1.0,0.0,0.0
29,supermass,4,NN,0.004509582863585118,0.0,1.0,0.0,0.0
30,black,12,JJ,0.013528748590755355,0.0,1.0,0.0,0.0
31,hole,12,NN,0.013528748590755355,0.0,1.0,0.0,0.0
32,call,4,NN,0.004509582863585118,0.0,1.0,0.0,0.0
33,sagittariu,3,NN,0.0033821871476888386,0.0,1.0,0.0,0.0
34,sun,23,NN,0.02593010146561443,0.0,1.0,0.0,0.0
35,orbit,20,NN,0.02254791431792559,0.0,1.0,0.0,0.0
36,black,12,JJ,0.013528748590755355,0.0,1.0,0.0,0.0
37,hole,12,NN,0.013528748590755355,0.0,1.0,0.0,0.0
38,instead,4,RB,0.004509582863585118,0.0,1.0,0.0,0.0
39,sun,23,NN,0.02593010146561443,0.0,1.0,0.0,0.0
40,orbit,20,NN,0.02254791431792559,0.0,1.0,0.0,0.0
41,center,11,NN,0.012401352874859075,0.0,1.0,0.0,0.0
42,milki,33,NN,0.03720405862457723,0.0,1.0,0.0,0.0
43,way,35,NN,0.03945885005636979,0.0,1.0,0.0,0.0
44,galaxi,36,JJ,0.040586245772266064,0.0,1.0,0.0,0.0
45,along,1,IN,0.0011273957158962795,0.0,1.0,0.0,0.0
46,star,5,NN,0.005636978579481398,0.0,1.0,0.0,0.0
47,object,7,VBP,0.007891770011273957,0.0,1.0,0.0,0.0
48,galaxi,36,JJ,0.040586245772266064,0.0,1.0,0.0,0.0
49,speed,2,NN,0.002254791431792559,0.0,1.0,0.0,0.0
50,sun,23,NN,0.02593010146561443,0.0,1.0,0.0,0.0
51,orbit,20,NN,0.02254791431792559,0.0,1.0,0.0,0.0
52,around,15,IN,0.016910935738444193,0.0,1.0,0.0,0.0
53,milki,33,NN,0.03720405862457723,0.0,1.0,0.0,0.0
54,way,35,NN,0.03945885005636979,0.0,1.0,0.0,0.0
55,center,11,NN,0.012401352874859075,0.0,1.0,0.0,0.0
56,approxim,2,VBP,0.002254791431792559,0.0,1.0,0.0,0.0
57,220,1,CD,0.0011273957158962795,0.0,1.0,0.0,0.0
58,km/,1,NNS,0.0011273957158962795,0.0,1.0,0.0,0.0
59,take,2,VBP,0.002254791431792559,0.0,1.0,0.0,0.0
60,225-250,1,CD,0.0011273957158962795,0.0,1.0,0.0,0.0
61,million,8,CD,0.009019165727170236,0.0,1.0,0.0,0.0
62,year,8,NN,0.009019165727170236,0.0,1.0,0.0,0.0
63,sun,23,NN,0.02593010146561443,0.0,1.0,0.0,0.0
64,complet,1,NN,0.0011273957158962795,0.0,1.0,0.0,0.0
65,one,6,CD,0.006764374295377677,0.0,1.0,0.0,0.0
66,orbit,20,NN,0.02254791431792559,0.0,1.0,0.0,0.0
67,websit,5,NN,0.005636978579481398,0.0,1.0,0.0,0.0
68,visual,3,JJ,0.0033821871476888386,0.0,1.0,0.0,0.0
69,ye,2,NN,0.002254791431792559,0.0,1.0,0.0,0.0
70,mani,2,NN,0.002254791431792559,0.0,1.0,0.0,0.0
71,websit,5,NN,0.005636978579481398,0.0,1.0,0.0,0.0
72,provid,3,VBP,0.0033821871476888386,0.0,1.0,0.0,0.0
73,visual,3,JJ,0.0033821871476888386,0.0,1.0,0.0,0.0
74,milki,33,NN,0.03720405862457723,0.0,1.0,0.0,0.0
75,way,35,NN,0.03945885005636979,0.0,1.0,0.0,0.0
76,galaxi,36,JJ,0.040586245772266064,0.0,1.0,0.0,0.0
77,sun,23,NN,0.02593010146561443,0.0,1.0,0.0,0.0
78,locat,3,NN,0.0033821871476888386,0.0,1.0,0.0,0.0
79,within,6,IN,0.006764374295377677,0.0,1.0,0.0,0.0
80,one,6,CD,0.006764374295377677,0.0,1.0,0.0,0.0
81,websit,5,NN,0.005636978579481398,0.0,1.0,0.0,0.0
82,call,4,NN,0.004509582863585118,0.0,1.0,0.0,0.0
83,``,4,``,0.004509582863585118,0.0,1.0,0.0,0.0
84,milki,33,NN,0.03720405862457723,0.0,1.0,0.0,0.0
85,way,35,NN,0.03945885005636979,0.0,1.0,0.0,0.0
86,explor,2,NN,0.002254791431792559,0.0,1.0,0.0,0.0
87,allow,2,IN,0.002254791431792559,0.0,0.0,1.0,0.2263
88,explor,2,NN,0.002254791431792559,0.0,1.0,0.0,0.0
89,3d,1,CD,0.0011273957158962795,0.0,1.0,0.0,0.0
90,model,2,NN,0.002254791431792559,0.0,1.0,0.0,0.0
91,milki,33,NN,0.03720405862457723,0.0,1.0,0.0,0.0
92,way,35,NN,0.03945885005636979,0.0,1.0,0.0,0.0
93,galaxi,36,JJ,0.040586245772266064,0.0,1.0,0.0,0.0
94,zoom,1,NN,0.0011273957158962795,0.0,1.0,0.0,0.0
95,posit,6,NN,0.006764374295377677,0.0,1.0,0.0,0.0
96,sun,23,NN,0.02593010146561443,0.0,1.0,0.0,0.0
97,within,6,IN,0.006764374295377677,0.0,1.0,0.0,0.0
98,also,4,RB,0.004509582863585118,0.0,1.0,0.0,0.0
99,see,2,VBP,0.002254791431792559,0.0,1.0,0.0,0.0
100,posit,6,NN,0.006764374295377677,0.0,1.0,0.0,0.0
101,supermass,4,NN,0.004509582863585118,0.0,1.0,0.0,0.0
102,black,12,JJ,0.013528748590755355,0.0,1.0,0.0,0.0
103,hole,12,NN,0.013528748590755355,0.0,1.0,0.0,0.0
104,sagittariu,3,NN,0.0033821871476888386,0.0,1.0,0.0,0.0
105,center,11,NN,0.012401352874859075,0.0,1.0,0.0,0.0
106,galaxi,36,JJ,0.040586245772266064,0.0,1.0,0.0,0.0
107,anoth,1,DT,0.0011273957158962795,0.0,1.0,0.0,0.0
108,websit,5,NN,0.005636978579481398,0.0,1.0,0.0,0.0
109,``,4,``,0.004509582863585118,0.0,1.0,0.0,0.0
110,nasa,1,JJ,0.0011273957158962795,0.0,1.0,0.0,0.0
111,eye,1,NN,0.0011273957158962795,0.0,1.0,0.0,0.0
112,provid,3,VBP,0.0033821871476888386,0.0,1.0,0.0,0.0
113,varieti,2,NN,0.002254791431792559,0.0,1.0,0.0,0.0
114,interact,4,NN,0.004509582863585118,0.0,1.0,0.0,0.0
115,simul,2,VB,0.002254791431792559,0.0,1.0,0.0,0.0
116,solar,3,JJ,0.0033821871476888386,0.0,1.0,0.0,0.0
117,system,3,NN,0.0033821871476888386,0.0,1.0,0.0,0.0
118,milki,33,NN,0.03720405862457723,0.0,1.0,0.0,0.0
119,way,35,NN,0.03945885005636979,0.0,1.0,0.0,0.0
120,galaxi,36,JJ,0.040586245772266064,0.0,1.0,0.0,0.0
121,celesti,1,NN,0.0011273957158962795,0.0,1.0,0.0,0.0
122,bodi,2,NN,0.002254791431792559,0.0,1.0,0.0,0.0
123,simul,2,VB,0.002254791431792559,0.0,1.0,0.0,0.0
124,allow,2,IN,0.002254791431792559,0.0,0.0,1.0,0.2263
125,see,2,VBP,0.002254791431792559,0.0,1.0,0.0,0.0
126,rel,7,JJ,0.007891770011273957,0.0,1.0,0.0,0.0
127,posit,6,NN,0.006764374295377677,0.0,1.0,0.0,0.0
128,movement,1,NN,0.0011273957158962795,0.0,1.0,0.0,0.0
129,object,7,VBP,0.007891770011273957,0.0,1.0,0.0,0.0
130,space,3,NN,0.0033821871476888386,0.0,1.0,0.0,0.0
131,includ,3,NN,0.0033821871476888386,0.0,1.0,0.0,0.0
132,sun,23,NN,0.02593010146561443,0.0,1.0,0.0,0.0
133,orbit,20,NN,0.02254791431792559,0.0,1.0,0.0,0.0
134,around,15,IN,0.016910935738444193,0.0,1.0,0.0,0.0
135,milki,33,NN,0.03720405862457723,0.0,1.0,0.0,0.0
136,way,35,NN,0.03945885005636979,0.0,1.0,0.0,0.0
137,galaxi,36,JJ,0.040586245772266064,0.0,1.0,0.0,0.0
138,addit,1,NN,0.0011273957158962795,0.0,1.0,0.0,0.0
139,european,1,JJ,0.0011273957158962795,0.0,1.0,0.0,0.0
140,space,3,NN,0.0033821871476888386,0.0,1.0,0.0,0.0
141,agenc,1,IN,0.0011273957158962795,0.0,1.0,0.0,0.0
142,``,4,``,0.004509582863585118,0.0,1.0,0.0,0.0
143,gaia,1,JJ,0.0011273957158962795,0.0,1.0,0.0,0.0
144,mission,1,NN,0.0011273957158962795,0.0,1.0,0.0,0.0
145,provid,3,VBP,0.0033821871476888386,0.0,1.0,0.0,0.0
146,high-precis,1,JJ,0.0011273957158962795,0.0,1.0,0.0,0.0
147,map,1,NNS,0.0011273957158962795,0.0,1.0,0.0,0.0
148,milki,33,NN,0.03720405862457723,0.0,1.0,0.0,0.0
149,way,35,NN,0.03945885005636979,0.0,1.0,0.0,0.0
150,galaxi,36,JJ,0.040586245772266064,0.0,1.0,0.0,0.0
151,also,4,RB,0.004509582863585118,0.0,1.0,0.0,0.0
152,visual,3,JJ,0.0033821871476888386,0.0,1.0,0.0,0.0
153,websit,5,NN,0.005636978579481398,0.0,1.0,0.0,0.0
154,milki,33,NN,0.03720405862457723,0.0,1.0,0.0,0.0
155,way,35,NN,0.03945885005636979,0.0,1.0,0.0,0.0
156,galaxi,36,JJ,0.040586245772266064,0.0,1.0,0.0,0.0
157,spiral,4,JJ,0.004509582863585118,0.0,1.0,0.0,0.0
158,around,15,IN,0.016910935738444193,0.0,1.0,0.0,0.0
159,milki,33,NN,0.03720405862457723,0.0,1.0,0.0,0.0
160,way,35,NN,0.03945885005636979,0.0,1.0,0.0,0.0
161,galaxi,36,JJ,0.040586245772266064,0.0,1.0,0.0,0.0
162,spiral,4,JJ,0.004509582863585118,0.0,1.0,0.0,0.0
163,around,15,IN,0.016910935738444193,0.0,1.0,0.0,0.0
164,particular,1,JJ,0.0011273957158962795,0.0,1.0,0.0,0.0
165,object,7,VBP,0.007891770011273957,0.0,1.0,0.0,0.0
166,point,2,NN,0.002254791431792559,0.0,1.0,0.0,0.0
167,space,3,NN,0.0033821871476888386,0.0,1.0,0.0,0.0
168,instead,4,RB,0.004509582863585118,0.0,1.0,0.0,0.0
169,galaxi,36,JJ,0.040586245772266064,0.0,1.0,0.0,0.0
170,whole,8,JJ,0.009019165727170236,0.0,1.0,0.0,0.0
171,rotat,2,NN,0.002254791431792559,0.0,1.0,0.0,0.0
172,spin,6,NN,0.006764374295377677,0.0,1.0,0.0,0.0
173,around,15,IN,0.016910935738444193,0.0,1.0,0.0,0.0
174,center,11,NN,0.012401352874859075,0.0,1.0,0.0,0.0
175,center,11,NN,0.012401352874859075,0.0,1.0,0.0,0.0
176,milki,33,NN,0.03720405862457723,0.0,1.0,0.0,0.0
177,way,35,NN,0.03945885005636979,0.0,1.0,0.0,0.0
178,galaxi,36,JJ,0.040586245772266064,0.0,1.0,0.0,0.0
179,contain,2,NN,0.002254791431792559,0.0,1.0,0.0,0.0
180,supermass,4,NN,0.004509582863585118,0.0,1.0,0.0,0.0
181,black,12,JJ,0.013528748590755355,0.0,1.0,0.0,0.0
182,hole,12,NN,0.013528748590755355,0.0,1.0,0.0,0.0
183,call,4,NN,0.004509582863585118,0.0,1.0,0.0,0.0
184,sagittariu,3,NN,0.0033821871476888386,0.0,1.0,0.0,0.0
185,mass,1,NN,0.0011273957158962795,0.0,1.0,0.0,0.0
186,approxim,2,VBP,0.002254791431792559,0.0,1.0,0.0,0.0
187,4,1,CD,0.0011273957158962795,0.0,0.0,0.0,0.0
188,million,8,CD,0.009019165727170236,0.0,1.0,0.0,0.0
189,time,14,NN,0.015783540022547914,0.0,1.0,0.0,0.0
190,sun,23,NN,0.02593010146561443,0.0,1.0,0.0,0.0
191,star,5,NN,0.005636978579481398,0.0,1.0,0.0,0.0
192,object,7,VBP,0.007891770011273957,0.0,1.0,0.0,0.0
193,milki,33,NN,0.03720405862457723,0.0,1.0,0.0,0.0
194,way,35,NN,0.03945885005636979,0.0,1.0,0.0,0.0
195,galaxi,36,JJ,0.040586245772266064,0.0,1.0,0.0,0.0
196,also,4,RB,0.004509582863585118,0.0,1.0,0.0,0.0
197,move,4,VBP,0.004509582863585118,0.0,1.0,0.0,0.0
198,variou,7,RB,0.007891770011273957,0.0,1.0,0.0,0.0
199,orbit,20,NN,0.02254791431792559,0.0,1.0,0.0,0.0
200,around,15,IN,0.016910935738444193,0.0,1.0,0.0,0.0
201,galact,1,JJ,0.0011273957158962795,0.0,1.0,0.0,0.0
202,center,11,NN,0.012401352874859075,0.0,1.0,0.0,0.0
203,orbit,20,NN,0.02254791431792559,0.0,1.0,0.0,0.0
204,influenc,2,JJ,0.002254791431792559,0.0,1.0,0.0,0.0
205,graviti,1,NN,0.0011273957158962795,0.0,1.0,0.0,0.0
206,variou,7,RB,0.007891770011273957,0.0,1.0,0.0,0.0
207,compon,3,NN,0.0033821871476888386,0.0,1.0,0.0,0.0
208,galaxi,36,JJ,0.040586245772266064,0.0,1.0,0.0,0.0
209,bulg,2,NN,0.002254791431792559,0.0,1.0,0.0,0.0
210,disk,2,NN,0.002254791431792559,0.0,1.0,0.0,0.0
211,dark,1,VBP,0.0011273957158962795,0.0,1.0,0.0,0.0
212,matter,4,NN,0.004509582863585118,0.0,0.0,1.0,0.0258
213,halo,1,NN,0.0011273957158962795,0.0,1.0,0.0,0.0
214,exact,1,JJ,0.0011273957158962795,0.0,1.0,0.0,0.0
215,detail,2,NN,0.002254791431792559,0.0,1.0,0.0,0.0
216,orbit,20,NN,0.02254791431792559,0.0,1.0,0.0,0.0
217,complex,1,JJ,0.0011273957158962795,0.0,1.0,0.0,0.0
218,vari,4,NN,0.004509582863585118,0.0,1.0,0.0,0.0
