index,token,count,tag,frequency,neg,neu,pos,compound
64,complet,1,NN,0.0011273957158962795,0.0,1.0,0.0,0.0
873,research,1,NN,0.0011273957158962795,0.0,1.0,0.0,0.0
215,detail,2,NN,0.002254791431792559,0.0,1.0,0.0,0.0
47,object,7,VBP,0.007891770011273957,0.0,1.0,0.0,0.0
564,practic,1,JJ,0.0011273957158962795,0.0,1.0,0.0,0.0
867,expect,1,VB,0.0011273957158962795,0.0,1.0,0.0,0.0
366,human,1,JJ,0.0011273957158962795,0.0,1.0,0.0,0.0
701,literatur,1,NN,0.0011273957158962795,0.0,1.0,0.0,0.0
323,major,1,JJ,0.0011273957158962795,0.0,1.0,0.0,0.0
375,follow,2,VB,0.002254791431792559,0.0,1.0,0.0,0.0
581,coher,1,NN,0.0011273957158962795,0.0,1.0,0.0,0.0
685,environ,1,NN,0.0011273957158962795,0.0,1.0,0.0,0.0
557,short,1,JJ,0.0011273957158962795,0.0,1.0,0.0,0.0
61,million,8,CD,0.009019165727170236,0.0,1.0,0.0,0.0
560,variat,3,NN,0.0033821871476888386,0.0,1.0,0.0,0.0
170,whole,8,JJ,0.009019165727170236,0.0,1.0,0.0,0.0
480,even,1,RB,0.0011273957158962795,0.0,1.0,0.0,0.0
266,motion,7,NN,0.007891770011273957,0.0,1.0,0.0,0.0
213,halo,1,NN,0.0011273957158962795,0.0,1.0,0.0,0.0
404,apolog,2,NN,0.002254791431792559,0.0,1.0,0.0,0.0
544,period,2,NN,0.002254791431792559,0.0,1.0,0.0,0.0
17,bar,1,NN,0.0011273957158962795,0.0,1.0,0.0,0.0
241,place,1,NN,0.0011273957158962795,0.0,1.0,0.0,0.0
382,determin,1,NN,0.0011273957158962795,0.0,1.0,0.0,0.0
842,billion,1,CD,0.0011273957158962795,0.0,1.0,0.0,0.0
94,zoom,1,NN,0.0011273957158962795,0.0,1.0,0.0,0.0
520,slightli,1,NN,0.0011273957158962795,0.0,1.0,0.0,0.0
684,climat,2,VB,0.002254791431792559,0.0,1.0,0.0,0.0
862,acceler,1,JJ,0.0011273957158962795,0.0,1.0,0.0,0.0
596,ago,2,RB,0.002254791431792559,0.0,1.0,0.0,0.0
362,make,2,VBP,0.002254791431792559,0.0,1.0,0.0,0.0
446,abl,1,NN,0.0011273957158962795,0.0,1.0,0.0,0.0
492,difficult,1,JJ,0.0011273957158962795,1.0,0.0,0.0,-0.3612
452,could,3,MD,0.0033821871476888386,0.0,1.0,0.0,0.0
116,solar,3,JJ,0.0033821871476888386,0.0,1.0,0.0,0.0
454,slowli,2,VB,0.002254791431792559,0.0,1.0,0.0,0.0
442,attent,1,NN,0.0011273957158962795,0.0,1.0,0.0,0.0
598,smaller,1,JJR,0.0011273957158962795,0.0,1.0,0.0,0.0
475,earth,14,NN,0.015783540022547914,0.0,1.0,0.0,0.0
479,centuri,1,VBD,0.0011273957158962795,0.0,1.0,0.0,0.0
618,increas,3,JJ,0.0033821871476888386,0.0,1.0,0.0,0.0
56,approxim,2,VBP,0.002254791431792559,0.0,1.0,0.0,0.0
441,bring,1,NN,0.0011273957158962795,0.0,1.0,0.0,0.0
259,gravit,8,NN,0.009019165727170236,0.0,1.0,0.0,0.0
273,chang,17,NN,0.019165727170236752,0.0,1.0,0.0,0.0
570,gotten,1,VBP,0.0011273957158962795,0.0,1.0,0.0,0.0
563,neglig,1,JJ,0.0011273957158962795,0.0,1.0,0.0,0.0
603,today,1,NN,0.0011273957158962795,0.0,1.0,0.0,0.0
373,tool,1,NN,0.0011273957158962795,0.0,1.0,0.0,0.0
436,form,1,NN,0.0011273957158962795,0.0,1.0,0.0,0.0
546,typic,2,JJ,0.002254791431792559,0.0,1.0,0.0,0.0
841,13.8,1,CD,0.0011273957158962795,0.0,1.0,0.0,0.0
586,closest,1,JJS,0.0011273957158962795,0.0,1.0,0.0,0.0
20,central,1,JJ,0.0011273957158962795,0.0,1.0,0.0,0.0
526,ellipt,1,NN,0.0011273957158962795,0.0,1.0,0.0,0.0
813,hubbl,2,NN,0.002254791431792559,0.0,1.0,0.0,0.0
312,long,3,RB,0.0033821871476888386,0.0,1.0,0.0,0.0
4,black,12,JJ,0.013528748590755355,0.0,1.0,0.0,0.0
18,spiral,4,JJ,0.004509582863585118,0.0,1.0,0.0,0.0
22,disk,2,NN,0.002254791431792559,0.0,1.0,0.0,0.0
621,phenomenon,1,NN,0.0011273957158962795,0.0,1.0,0.0,0.0
823,relationship,1,NN,0.0011273957158962795,0.0,1.0,0.0,0.0
372,lack,1,JJ,0.0011273957158962795,1.0,0.0,0.0,-0.3182
584,exampl,1,JJ,0.0011273957158962795,0.0,1.0,0.0,0.0
57,220,1,CD,0.0011273957158962795,0.0,1.0,0.0,0.0
833,theori,1,JJ,0.0011273957158962795,0.0,1.0,0.0,0.0
574,im,2,NN,0.002254791431792559,0.0,1.0,0.0,0.0
694,long-term,1,JJ,0.0011273957158962795,0.0,1.0,0.0,0.0
141,agenc,1,IN,0.0011273957158962795,0.0,1.0,0.0,0.0
46,star,5,NN,0.005636978579481398,0.0,1.0,0.0,0.0
87,allow,2,IN,0.002254791431792559,0.0,0.0,1.0,0.2263
407,previou,3,JJ,0.0033821871476888386,0.0,1.0,0.0,0.0
2,around,15,IN,0.016910935738444193,0.0,1.0,0.0,0.0
571,closer,1,JJR,0.0011273957158962795,0.0,1.0,0.0,0.0
829,explan,1,JJ,0.0011273957158962795,0.0,1.0,0.0,0.0
257,equilibrium,2,NN,0.002254791431792559,0.0,1.0,0.0,0.0
147,map,1,NNS,0.0011273957158962795,0.0,1.0,0.0,0.0
318,experi,1,VB,0.0011273957158962795,0.0,1.0,0.0,0.0
62,year,8,NN,0.009019165727170236,0.0,1.0,0.0,0.0
864,rather,1,RB,0.0011273957158962795,0.0,1.0,0.0,0.0
327,think,1,NN,0.0011273957158962795,0.0,1.0,0.0,0.0
242,univers,11,NNS,0.012401352874859075,0.0,1.0,0.0,0.0
67,websit,5,NN,0.005636978579481398,0.0,1.0,0.0,0.0
810,discov,1,JJ,0.0011273957158962795,0.0,1.0,0.0,0.0
838,dens,1,NNS,0.0011273957158962795,0.0,1.0,0.0,0.0
217,complex,1,JJ,0.0011273957158962795,0.0,1.0,0.0,0.0
872,activ,1,JJ,0.0011273957158962795,0.0,1.0,0.0,0.0
330,mistak,1,NN,0.0011273957158962795,0.0,1.0,0.0,0.0
476,distanc,13,NN,0.014656144306651634,0.0,1.0,0.0,0.0
68,visual,3,JJ,0.0033821871476888386,0.0,1.0,0.0,0.0
