index,token,count,tag,frequency,neg,neu,pos,compound
0,is,52,VBZ,0.030498533724340176,0.0,1.0,0.0,0.0
1,the,184,DT,0.10791788856304986,0.0,1.0,0.0,0.0
2,sun,23,NN,0.013489736070381233,0.0,1.0,0.0,0.0
3,spinning,4,VBG,0.002346041055718475,0.0,1.0,0.0,0.0
4,around,15,IN,0.008797653958944282,0.0,1.0,0.0,0.0
5,a,43,DT,0.025219941348973606,0.0,0.0,0.0,0.0
6,giant,4,JJ,0.002346041055718475,0.0,1.0,0.0,0.0
7,black,12,JJ,0.007038123167155425,0.0,1.0,0.0,0.0
8,hole,12,NN,0.007038123167155425,0.0,1.0,0.0,0.0
9,no,4,DT,0.002346041055718475,1.0,0.0,0.0,-0.296
13,not,14,RB,0.008211143695014663,0.0,1.0,0.0,0.0
23,part,1,NN,0.0005865102639296188,0.0,1.0,0.0,0.0
24,of,66,IN,0.03870967741935484,0.0,1.0,0.0,0.0
26,milky,33,JJ,0.01935483870967742,0.0,1.0,0.0,0.0
27,way,35,NN,0.020527859237536656,0.0,1.0,0.0,0.0
28,galaxy,30,NN,0.017595307917888565,0.0,1.0,0.0,0.0
29,which,9,WDT,0.005278592375366569,0.0,1.0,0.0,0.0
32,barred,1,JJ,0.0005865102639296188,0.0,1.0,0.0,0.0
33,spiral,2,JJ,0.0011730205278592375,0.0,1.0,0.0,0.0
35,with,10,IN,0.005865102639296188,0.0,1.0,0.0,0.0
37,central,1,JJ,0.0005865102639296188,0.0,1.0,0.0,0.0
38,bulge,2,NN,0.0011730205278592375,0.0,1.0,0.0,0.0
40,disk,2,NN,0.0011730205278592375,0.0,1.0,0.0,0.0
41,and,55,CC,0.03225806451612903,0.0,1.0,0.0,0.0
43,arms,1,NNS,0.0005865102639296188,0.0,1.0,0.0,0.0
44,at,3,IN,0.0017595307917888563,0.0,1.0,0.0,0.0
46,center,11,NN,0.0064516129032258064,0.0,1.0,0.0,0.0
52,there,5,EX,0.002932551319648094,0.0,1.0,0.0,0.0
55,supermassive,4,JJ,0.002346041055718475,0.0,1.0,0.0,0.0
58,called,4,VBN,0.002346041055718475,0.0,1.0,0.0,0.0
59,sagittarius,3,PDT,0.0017595307917888563,0.0,1.0,0.0,0.0
61,but,5,CC,0.002932551319648094,0.0,1.0,0.0,0.0
66,orbiting,3,VBG,0.0017595307917888563,0.0,1.0,0.0,0.0
67,this,11,DT,0.0064516129032258064,0.0,1.0,0.0,0.0
70,instead,4,RB,0.002346041055718475,0.0,1.0,0.0,0.0
73,orbits,4,VBZ,0.002346041055718475,0.0,1.0,0.0,0.0
81,along,1,IN,0.0005865102639296188,0.0,1.0,0.0,0.0
84,other,8,JJ,0.00469208211143695,0.0,1.0,0.0,0.0
85,stars,4,NNS,0.002346041055718475,0.0,1.0,0.0,0.0
87,objects,5,NNS,0.002932551319648094,0.0,1.0,0.0,0.0
88,in,32,IN,0.0187683284457478,0.0,1.0,0.0,0.0
92,speed,1,NN,0.0005865102639296188,0.0,1.0,0.0,0.0
96,orbit,13,NN,0.007624633431085044,0.0,1.0,0.0,0.0
103,approximately,2,RB,0.0011730205278592375,0.0,1.0,0.0,0.0
104,220,1,JJ,0.0005865102639296188,0.0,1.0,0.0,0.0
105,km/s,1,NN,0.0005865102639296188,0.0,1.0,0.0,0.0
107,it,18,PRP,0.010557184750733138,0.0,1.0,0.0,0.0
108,takes,1,VBZ,0.0005865102639296188,0.0,1.0,0.0,0.0
109,about,4,IN,0.002346041055718475,0.0,1.0,0.0,0.0
110,225-250,1,CD,0.0005865102639296188,0.0,1.0,0.0,0.0
111,million,4,CD,0.002346041055718475,0.0,1.0,0.0,0.0
112,years,8,NNS,0.00469208211143695,0.0,1.0,0.0,0.0
113,for,8,IN,0.00469208211143695,0.0,1.0,0.0,0.0
116,to,32,TO,0.0187683284457478,0.0,1.0,0.0,0.0
117,complete,1,VB,0.0005865102639296188,0.0,1.0,0.0,0.0
118,one,6,CD,0.0035190615835777126,0.0,1.0,0.0,0.0
123,website,4,NN,0.002346041055718475,0.0,1.0,0.0,0.0
126,visual,1,JJ,0.0005865102639296188,0.0,1.0,0.0,0.0
129,yes,2,NN,0.0011730205278592375,0.0,0.0,1.0,0.4019
131,are,16,VBP,0.0093841642228739,0.0,1.0,0.0,0.0
132,many,2,JJ,0.0011730205278592375,0.0,1.0,0.0,0.0
133,websites,1,NNS,0.0005865102639296188,0.0,1.0,0.0,0.0
134,that,22,IN,0.012903225806451613,0.0,1.0,0.0,0.0
135,provide,1,VBP,0.0005865102639296188,0.0,1.0,0.0,0.0
136,visualizations,1,NNS,0.0005865102639296188,0.0,1.0,0.0,0.0
145,location,3,NN,0.0017595307917888563,0.0,1.0,0.0,0.0
146,within,6,IN,0.0035190615835777126,0.0,1.0,0.0,0.0
149,such,3,JJ,0.0017595307917888563,0.0,1.0,0.0,0.0
153,``,4,``,0.002346041055718475,0.0,1.0,0.0,0.0
157,explorer,1,NN,0.0005865102639296188,0.0,1.0,0.0,0.0
159,allows,1,VBZ,0.0005865102639296188,0.0,1.0,0.0,0.0
160,you,16,PRP,0.0093841642228739,0.0,1.0,0.0,0.0
162,explore,1,VB,0.0005865102639296188,0.0,1.0,0.0,0.0
164,3d,1,CD,0.0005865102639296188,0.0,1.0,0.0,0.0
165,model,1,NN,0.0005865102639296188,0.0,1.0,0.0,0.0
172,zoom,1,NN,0.0005865102639296188,0.0,1.0,0.0,0.0
174,on,10,IN,0.005865102639296188,0.0,1.0,0.0,0.0
176,position,4,NN,0.002346041055718475,0.0,1.0,0.0,0.0
183,can,9,MD,0.005278592375366569,0.0,1.0,0.0,0.0
184,also,4,RB,0.002346041055718475,0.0,1.0,0.0,0.0
185,see,2,VB,0.0011730205278592375,0.0,1.0,0.0,0.0
201,another,1,DT,0.0005865102639296188,0.0,1.0,0.0,0.0
204,nasa,1,JJ,0.0005865102639296188,0.0,1.0,0.0,0.0
205,eyes,1,NNS,0.0005865102639296188,0.0,1.0,0.0,0.0
206,provides,2,VBZ,0.0011730205278592375,0.0,1.0,0.0,0.0
208,variety,2,NN,0.0011730205278592375,0.0,1.0,0.0,0.0
210,interactive,1,JJ,0.0005865102639296188,0.0,1.0,0.0,0.0
211,simulations,2,NNS,0.0011730205278592375,0.0,1.0,0.0,0.0
214,solar,3,JJ,0.0017595307917888563,0.0,1.0,0.0,0.0
215,system,3,NN,0.0017595307917888563,0.0,1.0,0.0,0.0
222,celestial,1,JJ,0.0005865102639296188,0.0,1.0,0.0,0.0
223,bodies,1,NNS,0.0005865102639296188,0.0,1.0,0.0,0.0
224,these,8,DT,0.00469208211143695,0.0,1.0,0.0,0.0
226,allow,1,VBP,0.0005865102639296188,0.0,0.0,1.0,0.2263
231,relative,2,JJ,0.0011730205278592375,0.0,1.0,0.0,0.0
232,positions,1,NNS,0.0005865102639296188,0.0,1.0,0.0,0.0
234,movements,1,NNS,0.0005865102639296188,0.0,1.0,0.0,0.0
238,space,3,NN,0.0017595307917888563,0.0,1.0,0.0,0.0
239,including,2,VBG,0.0011730205278592375,0.0,1.0,0.0,0.0
248,additionally,1,RB,0.0005865102639296188,0.0,1.0,0.0,0.0
250,european,1,JJ,0.0005865102639296188,0.0,1.0,0.0,0.0
252,agency,1,NN,0.0005865102639296188,0.0,1.0,0.0,0.0
254,gaia,1,JJ,0.0005865102639296188,0.0,1.0,0.0,0.0
255,mission,1,NN,0.0005865102639296188,0.0,1.0,0.0,0.0
258,high-precision,1,JJ,0.0005865102639296188,0.0,1.0,0.0,0.0
259,map,1,NN,0.0005865102639296188,0.0,1.0,0.0,0.0
268,be,10,VB,0.005865102639296188,0.0,1.0,0.0,0.0
269,visualized,1,VBN,0.0005865102639296188,0.0,1.0,0.0,0.0
271,their,2,PRP$,0.0011730205278592375,0.0,1.0,0.0,0.0
273,what,2,WP,0.0011730205278592375,0.0,1.0,0.0,0.0
279,spiralling,1,VBG,0.0005865102639296188,0.0,1.0,0.0,0.0
287,spiraling,1,VBG,0.0005865102639296188,0.0,1.0,0.0,0.0
289,any,4,DT,0.002346041055718475,0.0,1.0,0.0,0.0
290,particular,1,JJ,0.0005865102639296188,0.0,1.0,0.0,0.0
291,object,2,NN,0.0011730205278592375,0.0,1.0,0.0,0.0
292,or,20,CC,0.011730205278592375,0.0,1.0,0.0,0.0
293,point,2,NN,0.0011730205278592375,0.0,1.0,0.0,0.0
